ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,btc_halving,btc_halving_lower,btc_halving_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,yhat_moving_avg_7,yhat_moving_avg_14,yhat_moving_avg_28,yhat_moving_avg_90
2025-12-18,95839.34536515275,67463.61317343313,130564.8134410964,95839.34536515275,95839.34536515275,0.0,0.0,0.0,0.0,0.0,0.0,0.01543023272334338,0.01543023272334338,0.01543023272334338,0.0010087539000030027,0.0010087539000030027,0.0010087539000030027,0.014421478823340377,0.014421478823340377,0.014421478823340377,0.0,0.0,0.0,97318.16876818993,97270.43251303074,97283.024949687,98195.66760845577,102142.58456917283
2025-12-19,95874.04743263552,66933.20284967693,127656.91747559202,95874.04743263552,95874.04743263552,0.0,0.0,0.0,0.0,0.0,0.0,0.007480933002208307,0.007480933002208307,0.007480933002208307,-0.006030830227512437,-0.006030830227512437,-0.006030830227512437,0.013511763229720745,0.013511763229720745,0.013511763229720745,0.0,0.0,0.0,96591.2747581296,97256.33951109384,97217.54375144873,98028.73835414038,102071.1833083479
2025-12-20,95908.74950011828,66848.80670447124,127332.35375974997,95908.74950011828,95908.74950011828,0.0,0.0,0.0,0.0,0.0,0.0,0.011861894102999659,0.011861894102999659,0.011861894102999659,-0.000586951694199144,-0.000586951694199144,-0.000586951694199144,0.012448845797198804,0.012448845797198804,0.012448845797198804,0.0,0.0,0.0,97046.40893023982,97230.76853958299,97238.28788028528,97914.10377164083,102010.44368365806
2025-12-21,95943.45156760105,68023.62376753206,127989.54238960003,95943.45156760105,95943.45156760105,0.0,0.0,0.0,0.0,0.0,0.0,0.02284641057357482,0.02284641057357482,0.02284641057357482,0.011606823199426053,0.011606823199426053,0.011606823199426053,0.011239587374148768,0.011239587374148768,0.011239587374148768,0.0,0.0,0.0,98135.41505396036,97192.71994589486,97303.6918321797,97832.4177886444,101954.02187495056
2025-12-22,95978.1536350838,65218.74861558036,127901.44130667011,95978.1536350838,95978.1536350838,0.0,0.0,0.0,0.0,0.0,0.0,0.009877319739355586,0.009877319739355586,0.009877319739355586,-1.9257131553434567e-05,-1.9257131553434567e-05,-1.9257131553434567e-05,0.009896576870909021,0.009896576870909021,0.009896576870909021,0.0,0.0,0.0,96926.16054653052,97140.73816498897,97201.98030043229,97678.79691247482,101868.93037513466
2025-12-23,96012.85570256657,65138.73122176151,128540.55960951683,96012.85570256657,96012.85570256657,0.0,0.0,0.0,0.0,0.0,0.0,0.007308000830900506,0.007308000830900506,0.007308000830900506,-0.0011293166241385232,-0.0011293166241385232,-0.0011293166241385232,0.00843731745503903,0.00843731745503903,0.00843731745503903,0.0,0.0,0.0,96714.51773181805,97075.15469688104,97173.17144544578,97569.55237705415,101790.37711256709
2025-12-24,96047.55777004933,62816.67145673667,126704.25303053585,96047.55777004933,96047.55777004933,0.0,0.0,0.0,0.0,0.0,0.0,0.002034015307892993,0.002034015307892993,0.002034015307892993,-0.004849221422024628,-0.004849221422024628,-0.004849221422024628,0.006883236729917621,0.006883236729917621,0.006883236729917621,0.0,0.0,0.0,96242.91997283936,96996.40939452966,97135.42446924582,97459.4175265945,101704.26838077119
2025-12-25,96082.25983753208,64860.03286114861,126842.09349622384,96082.25983753208,96082.25983753208,0.0,0.0,0.0,0.0,0.0,0.0,0.006267312236852729,0.006267312236852729,0.006267312236852729,0.0010087538999950048,0.0010087538999950048,0.0010087538999950048,0.005258558336857724,0.005258558336857724,0.005258558336857724,0.0,0.0,0.0,96684.4373603563,96905.87633626771,97088.15442464921,97389.36094342277,101623.16062959023
2025-12-26,96116.96190501483,65360.58122734388,127710.87394698216,96116.96190501483,96116.96190501483,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024417531657013984,-0.0024417531657013984,-0.0024417531657013984,-0.0060308302275032585,-0.0060308302275032585,-0.0060308302275032585,0.00358907706180186,0.00358907706180186,0.00358907706180186,0.0,0.0,0.0,95882.26800900567,96804.58965782143,97030.46458445766,97281.76249685872,101523.15571021312
2025-12-27,96151.6639724976,63846.40763817872,128635.28419354546,96151.6639724976,96151.6639724976,0.0,0.0,0.0,0.0,0.0,0.0,0.0013139310659457087,0.0013139310659457087,0.0013139310659457087,-0.0005869516941965822,-0.0005869516941965822,-0.0005869516941965822,0.0019008827601422913,0.0019008827601422913,0.0019008827601422913,0.0,0.0,0.0,96278.00063083344,96694.81704362053,96962.79279160177,97222.39287276469,101430.78520655555
