ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2022-09-21,18960.680034456356,19098.574033396893,19336.414717502754,19840.007482380006,20073.52291415737
2022-09-20,19135.413368031775,19091.334028474557,19398.116143613013,19952.60642913079,20098.054665075815
2022-09-20,19126.647068381226,19117.608309231924,19456.09969001763,20068.609523129653,20125.450072097687
2022-09-20,19208.3125,19208.356694678427,19492.779294803673,20175.33171917785,20152.770250251815
2022-09-20,19295.5,19281.800147059377,19523.752784445438,20260.673570102135,20179.084621152506
2022-09-19,18995.893981298563,19349.345835789416,19546.881355874008,20342.801942415364,20203.04880148631
2022-09-19,18967.571281610344,19434.051457508667,19615.73495762828,20433.323585940412,20228.608312805216
2022-09-19,18910.0,19574.255401608614,19693.165580370398,20520.55105464587,20256.37252340136
2022-09-19,19319.333333333332,19704.89825875147,19767.111347171267,20608.936173693488,20284.103623916042
2022-09-18,19761.88576650674,19794.59107080333,19828.08821463262,20680.38855464587,20306.86169599709
2022-09-18,19722.416666666668,19777.201894928916,19856.73229256066,20716.685619041993,20324.460743035906
2022-09-18,19768.31982111026,19765.70542183149,19959.399620602988,20756.319901502884,20341.11151666806
2022-09-18,19588.833333333332,19744.4168759586,20104.48838338083,20785.52276503466,20357.41191527738
2022-09-17,19948.998890309962,19797.41845774789,20241.403462745908,20839.582288844183,20377.28888026412
2022-09-17,19824.5,19812.075759132185,20343.600247257255,20813.793783885463,20393.36487627643
2022-09-17,19947.183017696367,19829.324435591065,20507.09671464856,20792.69391501783,20411.24126516532
2022-09-16,19640.161535385847,19861.5853584619,20681.119356241677,20759.910592957247,20424.00775015388
2022-09-16,19641.941354984694,19936.262690192405,20857.884143552023,20734.301210290007,20440.65827590368
2022-09-16,19619.3,20153.093819374484,20997.594355758833,20695.839019040555,20457.255972684197
2022-09-15,19959.844405858374,20464.55989080306,21138.72252895672,20670.752651173298,20480.875433486595
2022-09-15,20051.6,20685.388467743927,21250.91221425255,20634.385192233913,20501.249384532617
2022-09-15,19945.240735212166,20875.124735382327,21347.936528921342,20604.232811281534,20521.068564364843
2022-09-14,20173.00947779223,21184.86899370606,21450.761000215713,20591.577318151376,20555.227000640265
2022-09-14,20162.902857499375,21500.65335402145,21532.688894659124,20569.241256215442,20593.326895331462
2022-09-13,21159.75925925926,21779.505596911644,21576.63894552332,20555.28639225713,20629.159670710687
2022-09-13,21799.5625,21842.09489214318,21553.240182402777,20506.041370253424,20653.934297141706
2022-09-13,21505.644444444446,21812.885167110384,21466.55714668849,20433.999666707543,20672.203047141706
2022-09-13,21379.753873468813,21816.435960761177,21437.76111494246,20373.265793647362,20699.065331092323
2022-09-12,22113.450543478262,21820.74832246036,21283.987320513676,20316.860257355955,20723.97028805378
2022-09-12,22383.5,21716.65300672537,21078.291115387106,20234.844166517443,20741.706813966375
2022-09-12,22114.868557730722,21564.7244352968,20838.70182967282,20137.93345223173,20756.287920148014
2022-09-11,21597.884325880008,21373.77229413499,20610.718277027998,20052.69707516992,20776.72826950656
2022-09-11,21595.09442477044,21264.385472662372,20394.083682322285,19989.076210508734,20802.72287149342
2022-09-11,21530.5,21120.229126266593,20202.782773389878,19925.535540083347,20828.710443286112
2022-09-10,21409.94040536309,21059.086269123738,20017.85817021527,19874.58315913097,20861.704887730557
2022-09-10,21384.783333333333,20747.226318566994,19860.52909364172,19827.27993777265,20893.619041707614
2022-09-10,21320.0,20439.92922404884,19732.393636087047,19781.90724613502,20925.823452803153
2022-09-09,20778.20356959807,20112.67922404884,19605.79361777176,19740.210817563588,20961.34217346463
2022-09-09,20832.176575571666,19847.664259921006,19533.933838990946,19710.02230474102,21003.215682209517
2022-09-09,20586.0,19523.781891982195,19458.842558104076,19679.04635561346,21044.452111403672
2022-09-09,21102.5,19285.336420513155,19401.442186726603,19656.006177042033,21088.403330839832
2022-09-08,19226.9207514659,18976.630071306805,19308.77047235227,19614.664653245847,21120.2869467299
2022-09-08,19233.703671706262,18973.83186871644,19349.733194198227,19642.19873355064,21173.461977818042
2022-09-08,19029.25,19024.858048125254,19391.39721764778,19675.67091393269,21226.05415924353
2022-09-07,18923.09882070321,19098.908011494674,19437.165074790635,19716.947570268756,21285.791093155996
2022-09-07,18565.0,19220.203418060883,19494.675873311837,19758.985916871236,21347.915391973576
2022-09-07,18916.881699716712,19393.90322422596,19584.068738695183,19798.807345442667,21412.77842516988
2022-09-06,18941.555555555555,19517.54795294005,19648.28830677682,19841.87407045278,21474.901961839696
2022-09-06,19207.333333333332,19640.91087339773,19731.308148046664,19881.34589199722,21525.718783349796
2022-09-06,19590.88692756796,19725.63451968002,19794.030781903577,19909.32915729204,21573.24715339137
2022-09-06,19547.599743585964,19757.93638717031,19831.420856182987,19929.047481307472,21612.09285419617
2022-09-05,19772.166666666668,19775.4221380866,19874.62801735542,19944.922750882735,21654.44016603667
2022-09-05,19780.898643155506,19769.14832856279,19886.110770491097,19951.18465564464,21694.17447881384
2022-09-05,19782.39480071538,19774.234253164414,19899.250153122848,19957.264103149002,21740.446193551892
2022-09-04,19805.095998759305,19779.02866061359,19910.570167357462,19962.609183384186,21787.30958465505
2022-09-04,19800.398857309337,19821.7054226956,19920.558834139425,19962.80441557135,21833.014291265325
2022-09-04,19817.0,19862.427044127136,19934.664272903046,19959.084813524587,21869.2789112586
2022-09-03,19670.0,19904.90532519566,19959.94461021759,19968.15719040513,21905.195922866136
2022-09-03,19728.25,19973.833896624234,19996.73006574687,19985.10064278609,21944.07496921024
2022-09-03,19816.500115366867,20003.073212419407,20023.295960430634,19997.593179628988,21982.250044037475
2022-09-03,19815.955652859633,20024.266053081283,20013.545952190143,20031.071872250603,22018.491291348564
2022-09-02,20103.833333333332,20042.111674101336,20035.45983412874,20075.484278333217,22055.28708920603
2022-09-02,20085.450207330123,20019.412245583255,20031.38363594778,20116.90094499988,22090.68338550233
2022-09-02,20114.347967479676,20006.901501678953,20024.627532680508,20155.58263820654,22121.02881898045
2022-09-02,20152.5,20014.98389523952,20026.674106431958,20208.677353653697,22152.913841564008
2022-09-01,19932.925210566224,20019.626234869505,20015.21748441005,20259.854607305588,22182.6625954793
2022-09-01,19964.85,20043.51870844186,20016.25854079818,20318.557488394723,22218.916893838978
